CODE,PLAYER_ID,AMOUNT,EVENT_DATE,CHAPTER,PARTNER_ID,GAME_NAME,SESSION_ID
11400557,14345194,13.5,2019-02-26 9:34:00,End session,11,Poker,46628
11400556,14345194,1.35,2019-02-26 9:34:00,Loyalty,11,Poker,46628
11400555,14345194,13.5,2019-02-26 9:34:00,Win,11,Poker,46628
11400560,14345194,13.5,2019-02-26 9:34:00,End session,11,Poker,46628
11400559,14345194,1.35,2019-02-26 9:34:00,Loyalty,11,Poker,46628
11400558,14345194,13.5,2019-02-26 9:34:00,Win,11,Poker,46628
11400568,14345196,10,2019-02-26 10:36:00,Bet,11,Poker,46630
11400569,14345196,10,2019-02-26 10:36:00,Bet,11,Poker,46630
11400570,14345196,10,2019-02-26 10:36:00,Bet,11,Poker,46630
11400571,14345196,10,2019-02-26 10:36:00,Bet,11,Poker,46630
11400572,14345196,10,2019-02-26 10:36:00,Win,11,Poker,46630
11400574,14345196,10,2019-02-26 10:36:00,End session,11,Poker,46630
11400573,14345196,1,2019-02-26 10:36:00,Loyalty,11,Poker,46630
11400576,14345196,1,2019-02-26 10:37:00,Bet,11,Poker,46630
11400577,14345194,6.5,2019-02-26 10:51:00,Win,11,Bingo,46628
11400579,14345194,6.5,2019-02-26 10:51:00,End session,11,Bingo,46628
11400578,14345194,0.65,2019-02-26 10:51:00,Loyalty,11,Bingo,46628
11400582,14345194,5,2019-02-26 10:54:00,Bet,11,Bingo,46628
11400610,14345194,2,2019-02-26 12:20:00,Bet,11,Bingo,46628
11400615,14345194,2,2019-02-26 12:29:00,Bet,11,Bingo,46628
11400627,14345196,21.3,2019-02-26 13:21:00,Win,11,Poker,46630
11400628,14345196,2.13,2019-02-26 13:21:00,Loyalty,11,Poker,46630
11400629,14345196,21.3,2019-02-26 13:21:00,End session,11,Poker,46630
11400630,14345196,21.3,2019-02-26 13:21:00,Bet,11,Poker,46630
11400805,14334473,4.9,2019-02-26 14:11:00,Bet,11,Poker,35906
11400810,14334473,6.5,2019-02-26 14:11:00,Bet,11,Poker,35906
11400813,14334473,6.5,2019-02-26 14:11:00,Bet,11,Poker,35906
11400814,14334473,6.5,2019-02-26 14:11:00,Bet,11,Poker,35906
11400826,14334473,6.5,2019-02-26 14:12:00,Network free bets,11,Poker,35906
11400828,14334473,6.5,2019-02-26 14:12:00,Bet,11,Poker,35906
11400829,14334473,6.5,2019-02-26 14:12:00,Bet,11,Poker,35906
11400855,14345194,2,2019-02-26 14:15:00,Bet,11,Poker,46628142
11401104,14345194,3.3,2019-02-26 14:41:00,Bet,11,Poker,46628142
11401105,14345196,10,2019-02-26 14:52:00,Bet,11,Poker,46630
11401106,14345196,10,2019-02-26 14:52:00,Bet,11,Poker,46630
11401107,14345196,10,2019-02-26 14:52:00,Bet,11,Poker,46630
11401108,14345196,10,2019-02-26 14:52:00,Bet,11,Poker,46630
11401109,14345196,10,2019-02-26 14:52:00,Win,11,Poker,46630
11401111,14345196,10,2019-02-26 14:52:00,End session,11,Poker,46630
11401110,14345196,1,2019-02-26 14:52:00,Loyalty,11,Poker,46630
11401112,14345196,1,2019-02-26 14:52:00,Bet,11,Poker,46630
11401113,14345196,1,2019-02-26 14:52:00,Bet,11,Poker,46630
11401123,14345194,3.3,2019-02-26 15:00:00,Bet,11,Poker,1232131
11401125,14345194,0.65,2019-02-26 15:01:00,Loyalty,11,Poker,1232131
11401126,14345194,6.5,2019-02-26 15:01:00,End session,11,Poker,46628
11401124,14345194,6.5,2019-02-26 15:01:00,Win,11,Poker,46628
11401134,14349169,1.45,2019-02-26 15:12:00,Loyalty,11,Blackjack,50603
11401135,14349169,14.5,2019-02-26 15:12:00,End session,11,Blackjack,50603
11401133,14349169,14.5,2019-02-26 15:12:00,Win,11,Blackjack,50603
11401138,14349169,21.3,2019-02-26 15:12:00,End session,11,Blackjack,50603
11401137,14349169,2.13,2019-02-26 15:12:00,Loyalty,11,Blackjack,50603
11401136,14349169,21.3,2019-02-26 15:12:00,Win,11,Blackjack,50603
11401139,14349169,21.3,2019-02-26 15:12:00,Win,11,Blackjack,50603
11401141,14349169,21.3,2019-02-26 15:12:00,End session,11,Blackjack,50603
11401140,14349169,2.13,2019-02-26 15:12:00,Loyalty,11,Blackjack,50603
11401142,14349169,21.3,2019-02-26 15:12:00,Win,11,Blackjack,50603
11401144,14349169,21.3,2019-02-26 15:12:00,End session,11,Blackjack,50603
11401143,14349169,2.13,2019-02-26 15:12:00,Loyalty,11,Blackjack,50603
11401147,14349169,21.3,2019-02-26 15:12:00,End session,11,Blackjack,50603
11401146,14349169,2.13,2019-02-26 15:12:00,Loyalty,11,Blackjack,50603
11401145,14349169,21.3,2019-02-26 15:12:00,Win,11,Blackjack,50603
11401149,14349169,2.13,2019-02-26 15:12:00,Loyalty,11,Blackjack,50603
11401150,14349169,21.3,2019-02-26 15:12:00,End session,11,Blackjack,50603
11401148,14349169,21.3,2019-02-26 15:12:00,Win,11,Blackjack,50603
11401151,14349169,3.3,2019-02-26 15:13:00,Bet,11,Blackjack,50603
11401153,14349169,0.99,2019-02-26 15:14:00,Loyalty,11,Blackjack,50603
11401154,14349169,9.9,2019-02-26 15:14:00,End session,11,Blackjack,50603
11401152,14349169,9.9,2019-02-26 15:14:00,Win,11,Blackjack,50603
11401155,14349169,21.3,2019-02-26 15:14:00,Win,11,Blackjack,50603
11401157,14349169,21.3,2019-02-26 15:14:00,End session,11,Blackjack,50603
11401156,14349169,2.13,2019-02-26 15:14:00,Loyalty,11,Blackjack,50603
11401158,14349169,21.3,2019-02-26 15:14:00,Win,11,Blackjack,50603
11401160,14349169,21.3,2019-02-26 15:14:00,End session,11,Blackjack,50603
11401159,14349169,2.13,2019-02-26 15:14:00,Loyalty,11,Blackjack,50603
11401163,14349169,21.3,2019-02-26 15:14:00,End session,11,Blackjack,50603
11401162,14349169,2.13,2019-02-26 15:14:00,Loyalty,11,Blackjack,50603
11401161,14349169,21.3,2019-02-26 15:14:00,Win,11,Blackjack,50603
11401165,14349169,2.13,2019-02-26 15:14:00,Loyalty,11,Blackjack,50603
11401166,14349169,21.3,2019-02-26 15:14:00,End session,11,Blackjack,50603
11401164,14349169,21.3,2019-02-26 15:14:00,Win,11,Blackjack,50603
11401167,14349169,21.3,2019-02-26 15:14:00,Win,11,Blackjack,50603
11401168,14349169,2.13,2019-02-26 15:14:00,Loyalty,11,Blackjack,50603
11401169,14349169,21.3,2019-02-26 15:14:00,End session,11,Blackjack,50603
11401171,14349169,2.13,2019-02-26 15:14:00,Loyalty,11,Blackjack,50603
11401172,14349169,21.3,2019-02-26 15:14:00,End session,11,Blackjack,50603
11401170,14349169,21.3,2019-02-26 15:14:00,Win,11,Blackjack,50603
11401175,14349169,21.3,2019-02-26 15:14:00,End session,11,Blackjack,50603
11401174,14349169,2.13,2019-02-26 15:14:00,Loyalty,11,Blackjack,50603
11401173,14349169,21.3,2019-02-26 15:14:00,Win,11,Blackjack,50603
11401176,14349169,21.3,2019-02-26 15:14:00,Win,11,Blackjack,50603
11401177,14349169,2.13,2019-02-26 15:14:00,Loyalty,11,Blackjack,50603
11401178,14349169,21.3,2019-02-26 15:14:00,End session,11,Blackjack,50603
11401179,14349169,21.3,2019-02-26 15:14:00,Win,11,Blackjack,50603
11401180,14349169,2.13,2019-02-26 15:14:00,Loyalty,11,Blackjack,50603
11401181,14349169,21.3,2019-02-26 15:14:00,End session,11,Blackjack,50603
11401184,14349169,21.3,2019-02-26 15:14:00,End session,11,Blackjack,50603
11401183,14349169,2.13,2019-02-26 15:14:00,Loyalty,11,Blackjack,50603
11401182,14349169,21.3,2019-02-26 15:14:00,Win,11,Blackjack,50603
11401187,14345194,21.3,2019-02-26 15:36:00,End session,11,Blackjack,14241853
11401186,14345194,2.13,2019-02-26 15:36:00,Loyalty,11,Blackjack,14241853
11401185,14345194,21.3,2019-02-26 15:36:00,Win,11,Blackjack,14241853
11401189,14345194,21.3,2019-02-26 15:46:00,Network free bets,11,Blackjack,14241853
11401190,14345194,21.3,2019-02-26 15:46:00,Network free bets,11,Blackjack,14241853
11401191,14345194,21.3,2019-02-26 15:46:00,Network free bets,11,Blackjack,14241853
11401192,14345194,21.3,2019-02-26 15:46:00,Network free bets,11,Blackjack,14241853
11401193,14345194,21.3,2019-02-26 15:46:00,Network free bets,11,Blackjack,14241853
11401194,14345194,21.3,2019-02-26 15:46:00,Network free bets,11,Blackjack,14241853
11401195,14345194,21.3,2019-02-26 15:46:00,Network free bets,11,Blackjack,14241853
